timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
238884000,238884000,-0.000550502,0.00018536951,-0.0010466281,-0.026064284,-0.047662504,-0.0012365889
238896000,238896000,-0.0010271771,-0.0013526682,-0.0010376388,-0.0379968,-0.05083006,0.0006136422
238904000,238904000,-0.0013846613,0.002203666,-0.0010357067,-0.04340026,0.28800857,0.00021793101
238916000,238916000,-0.0018634031,0.0045186277,-0.0010444556,-0.040470127,0.1768975,-0.000356015
238924000,238924000,-0.0022968887,0.0031944783,-0.0010358242,-0.050799742,-0.07130292,0.00071676716
238936000,238936000,-0.0031217784,0.0011699179,-0.0010189427,-0.06481168,-0.090953656,0.0011358458
238944000,238944000,-0.003559045,0.0043335594,-0.0010138777,-0.05736852,0.24312237,0.0007359626
238956000,238956000,-0.0041648825,0.00620698,-0.0010006045,-0.05159882,0.14031705,0.0014714667
238964000,238964000,-0.004460907,0.0048584244,-0.0009761551,-0.040743515,-0.08359419,0.0024666646
238976000,238976000,-0.004763741,0.0028475656,-0.0009577188,-0.029206758,-0.09548138,0.0015082785
238984000,238984000,-0.004947456,0.005696092,-0.0009560586,-0.023966206,0.21348879,0.00064419943
238996000,238996000,-0.0048543224,0.0069504012,-0.00096263055,0.00430914,0.09334666,-0.00042969928
239004000,239004000,-0.004653967,0.0051684147,-0.00096646865,0.019072564,-0.13553467,-0.00046560835
239016000,239016000,-0.0041430877,0.0028530331,-0.00097183854,0.03926398,-0.121284306,-0.0003515575
239024000,239024000,-0.003940791,0.0057164673,-0.0009838226,0.027958564,0.2070344,-0.0012033876
239036000,239036000,-0.0042496594,0.0070974072,-0.000984466,-0.020093352,0.10064495,-3.8211514e-05
239044000,239044000,-0.0046826196,0.0053718123,-0.00097461237,-0.043984614,-0.12869024,0.0009030685
239056000,239056000,-0.0054552867,0.0030182335,-0.0009674117,-0.05927322,-0.12284698,0.00025041512
239064000,239064000,-0.0057151755,0.0059375204,-0.0009667644,-0.039569825,0.21212706,0.00025356555
239076000,239076000,-0.005794024,0.007843573,-0.0009522548,-0.012162102,0.14187703,0.0011504272
239084000,239084000,-0.0058847917,0.006683046,-0.0009297872,-0.011954919,-0.06711362,0.0022993875
239096000,239096000,-0.00627711,0.004898784,-0.00090128934,-0.032369107,-0.08732276,0.0021192967
239104000,239104000,-0.00683115,0.005317593,-0.0008974751,-0.058733806,-0.0020767706,0.0009586943
239116000,239116000,-0.007764485,0.0038716793,-0.00092181924,-0.07142228,-0.0931679,-0.0017065007
239124000,239124000,-0.008209097,0.0027333407,-0.0009353484,-0.060357545,-0.13217983,-0.0016310726
239136000,239136000,-0.008533814,0.003387478,-0.00095015333,-0.028093643,0.09120014,-0.0013006942
239144000,239144000,-0.008461892,0.008489424,-0.00095250964,-0.0022897786,0.46387398,-0.0006145578
239156000,239156000,-0.0082789315,0.01260945,-0.00096359965,0.010778933,0.32640296,-0.0008805641
239164000,239164000,-0.008405952,0.012080183,-0.0009611418,-0.008985307,0.04249637,8.091556e-05
239176000,239176000,-0.008903102,0.010559129,-0.00093410414,-0.035951033,-0.0438324,0.0014844956
239184000,239184000,-0.009189322,0.013568358,-0.0009459581,-0.03531862,0.24436097,-0.0005383243
239196000,239196000,-0.009470708,0.01523241,-0.00095963886,-0.025917195,0.12700175,-0.0009574782
239204000,239204000,-0.009845666,0.013675586,-0.00096132956,-0.04143835,-0.10613673,-0.0003972548
239216000,239216000,-0.010767325,0.011274286,-0.0009480084,-0.07312447,-0.12579687,0.0008995381
239224000,239224000,-0.0115503585,0.013879662,-0.0009397173,-0.09042548,0.18352894,0.0009809661
239236000,239236000,-0.01283883,0.015002352,-0.0009319103,-0.10448678,0.07974371,0.00054864655
239244000,239244000,-0.013609058,0.013060227,-0.0009384953,-0.09808349,-0.15445021,-0.00039783327
239256000,239256000,-0.01458811,0.009909914,-0.0009435325,-0.08426815,-0.18858635,-0.00021641143
239264000,239264000,-0.015328985,0.011944355,-0.0009380125,-0.09063086,0.11582063,0.0004019878
239276000,239276000,-0.016537003,0.012486591,-0.00094322924,-0.09800223,0.029204134,-0.00055424584
239284000,239284000,-0.017167278,0.010223239,-0.0009592638,-0.08367513,-0.19749631,-0.0015516753
239296000,239296000,-0.017631501,0.0068278266,-0.0009810614,-0.04317373,-0.21062359,-0.0015451806
239304000,239304000,-0.017809799,0.0087922765,-0.0009800775,-0.028593872,0.102504164,-0.000422236
239316000,239316000,-0.017855313,0.009103164,-0.0009912305,-0.0077525536,0.010935623,-0.00077821495
239324000,239324000,-0.01781553,0.006833209,-0.0009889761,0.0014732708,-0.20288926,-4.0181058e-05
239336000,239336000,-0.01770398,0.0037845774,-0.0010062188,0.008244064,-0.1841572,-0.0014526912
239344000,239344000,-0.017640607,0.00608957,-0.001022524,0.0071556494,0.13927951,-0.0017837235
239356000,239356000,-0.017909005,0.0066632996,-0.0010383651,-0.018898277,0.03266503,-0.001660569
239364000,239364000,-0.018121995,0.0043326216,-0.0010586606,-0.023829382,-0.20195802,-0.002158912
239376000,239376000,-0.018270804,0.0011072734,-0.0010607922,-0.012440192,-0.19417618,-0.000591021
239384000,239384000,-0.01816075,0.0034847076,-0.0010776802,0.006249233,0.1425615,-0.0017494407
239396000,239396000,-0.0179314,0.004246923,-0.0011100122,0.016679121,0.048753362,-0.0022184993
239404000,239404000,-0.017643468,0.0022850835,-0.0011175137,0.030872868,-0.16463017,-0.0013608997
239416000,239416000,-0.016958008,-0.0006251916,-0.0011357766,0.053554844,-0.17344591,-0.0015429249
239424000,239424000,-0.016436804,0.0015921195,-0.0011487575,0.061645247,0.13578543,-0.0015897818
239436000,239436000,-0.015572289,0.0022477554,-0.0011673133,0.07077025,0.04052269,-0.0015501776
239444000,239444000,-0.01495687,0.00019379542,-0.0011788767,0.07508146,-0.17488506,-0.0014756154
239456000,239456000,-0.014044218,-0.0023663195,-0.0012053218,0.07481892,-0.14561091,-0.0021649844
239464000,239464000,-0.013490564,0.00011124218,-0.0012252771,0.07127324,0.16490284,-0.0024126375
239476000,239476000,-0.012467735,0.0006618143,-0.001261372,0.08434456,0.03639815,-0.0030455492
239484000,239484000,-0.0117564425,-0.001550945,-0.001295776,0.08682779,-0.18984577,-0.003841689
239496000,239496000,-0.010878632,-0.00440051,-0.0013216314,0.0749172,-0.16603799,-0.0023360492
239504000,239504000,-0.010291331,-0.0017609993,-0.0013347657,0.074142806,0.1745526,-0.0018397951
239516000,239516000,-0.009251549,-0.0003690731,-0.0013480431,0.08617893,0.09724963,-0.0013168213
239524000,239524000,-0.008507926,-0.0020371154,-0.001361259,0.090614334,-0.1248911,-0.00154038
239536000,239536000,-0.0074379733,-0.004917252,-0.0013798446,0.08909291,-0.1752673,-0.0015561734
239544000,239544000,-0.006740173,-0.005339337,-0.0013927795,0.08780155,-0.10237699,-0.0015938509
239556000,239556000,-0.005696327,-0.008631842,-0.0014110286,0.08715858,-0.24505886,-0.001532303
239564000,239564000,-0.004996693,-0.010568695,-0.0014232844,0.08738372,-0.23918216,-0.0015335153
239576000,239576000,-0.003944309,-0.009253286,-0.0014432272,0.08759683,0.113850065,-0.0016634781
239584000,239584000,-0.0032471404,-0.004515685,-0.001456662,0.0872885,0.43574625,-0.0016440988
239596000,239596000,-0.0021549605,-0.0017878924,-0.001452916,0.090366006,0.22362822,0.00018074794
239604000,239604000,-0.001568188,-0.0032466173,-0.0014449327,0.07778806,-0.06871109,0.00068441033
239616000,239616000,-0.0007181957,-0.0044215657,-0.0014453316,0.07477242,-0.013067737,5.61323e-05
239624000,239624000,-2.1382833e-05,-0.000677251,-0.0014475619,0.08288593,0.3110538,-0.0001830662
239636000,239636000,0.000937676,0.0004345914,-0.0014576146,0.08037451,0.09030639,-0.0007687395
239644000,239644000,0.0015982012,-0.0012069609,-0.0014663198,0.082006484,-0.11588871,-0.0009874923
239656000,239656000,0.0026172623,-0.002215751,-0.0014732172,0.08419338,-0.039838105,-0.0004391863
239664000,239664000,0.0031878091,0.000396638,-0.0014671126,0.07470189,0.20666468,0.00037577358
239676000,239676000,0.003907224,0.0001963684,-0.0014443045,0.062352344,-0.011972293,0.0019629064
239684000,239684000,0.004431004,-0.002629553,-0.0014206461,0.0647572,-0.25692275,0.0025943508
239696000,239696000,0.0053323642,-0.0064418796,-0.0014063946,0.075961344,-0.24658063,0.0011948178
239704000,239704000,0.006140269,-0.0046827965,-0.001412298,0.09337445,0.073132545,-0.0001688649
239716000,239716000,0.0073284768,-0.004596451,-0.0014070935,0.0970947,-0.0075409375,0.00057346176
